序号,代码,名称,资讯出现次数
1,333333,未知,390
2,000636,未知,332
3,002185,未知,287
4,600176,未知,287
5,600584,未知,260
6,002484,未知,258
7,600183,未知,246
8,002463,未知,228
9,000725,未知,228
10,605376,未知,172
11,603773,未知,169
12,445526,未知,169
13,300285,未知,168
14,325230,未知,166
15,974607,未知,164
16,300757,未知,164
17,688519,未知,156
18,002378,未知,150
19,600378,未知,144
20,002927,未知,142
21,002916,未知,142
22,301217,未知,140
23,605358,未知,138
24,600578,未知,136
25,600667,未知,130
26,688603,未知,130
27,202605,未知,129
28,260611,未知,128
29,601958,未知,126
30,202606,未知,125
31,300364,未知,125
32,300408,未知,124
33,002364,未知,124
34,300291,未知,124
35,600330,未知,123
36,688551,未知,122
37,300491,未知,122
38,000892,未知,122
39,300182,未知,122
40,002156,未知,121
41,600519,未知,120
42,603533,未知,118
43,600396,未知,117
44,688783,未知,116
45,603005,未知,116
46,300308,未知,114
47,000881,未知,114
48,603256,未知,113
49,624048,未知,110
50,301511,未知,110
51,688126,未知,108
52,601615,未知,100
53,601208,未知,98
54,002552,未知,97
55,600487,未知,96
56,300502,未知,94
57,329471,未知,93
58,603538,未知,91
59,002741,未知,90
60,600403,未知,84
61,002251,未知,84
62,002886,未知,84
63,002613,未知,82
64,002126,未知,82
65,002617,未知,82
66,300538,未知,82
67,300319,未知,82
68,688146,未知,80
69,300394,未知,80
70,601138,未知,80
71,301591,未知,80
72,260612,未知,78
73,002579,未知,78
74,600726,未知,78
75,122026,未知,78
76,300997,未知,78
77,300776,未知,76
78,000630,未知,74
79,002407,未知,74
80,002129,未知,74
81,002080,未知,74
82,301526,未知,74
83,603993,未知,72
84,600353,未知,70
85,603316,未知,70
86,002971,未知,68
87,301308,未知,68
88,002918,未知,66
89,920726,未知,66
90,000568,未知,66
91,002195,未知,66
92,605589,未知,66
93,002340,未知,66
94,300967,未知,66
95,002669,未知,61
96,001696,未知,60
97,688584,未知,60
98,688432,未知,60
99,600744,未知,60
100,688079,未知,58
