代码,名称,共振,组合,现价,昨收,涨跌幅,最高,最低,成交额万,换手率,PE_TTM,振幅,流通市值亿,总市值亿,PB,量比,时间,R5,R20,R60,MA5,MA20,MA60,多头排列,距MA20,距60日高,距年高,年内位置,RSI14,MACD柱,量能比,波动率20,最新K日
600602,云赛智联,1,15Min,17.65,17.62,0.17,18.15,17.51,94796.0,4.95,123.06,3.63,189.61,241.39,4.96,1.27,20260803161438,-0.21,14.48,-23.05,17.1,17.51,18.39,0.0,0.78,-25.83,-29.42,27.6,55.8,-0.082,0.72,5.47,2026-08-03
600617,国新能源,1,同花顺,3.35,3.23,3.72,3.37,3.2,24245.0,4.13,-23.47,5.26,59.48,64.63,2.02,0.47,20260803161447,-10.19,19.64,-5.63,3.38,3.05,3.18,0.0,9.94,-12.53,-27.8,35.8,64.7,0.093,2.52,4.31,2026-08-03
600664,哈药股份,3,龙头股+15Min+同花顺,5.99,5.89,1.7,6.15,5.71,235616.0,15.83,48.7,7.47,150.86,150.86,2.57,0.88,20260803161449,6.21,88.36,59.31,5.71,4.89,3.82,1.0,22.43,-0.17,-0.17,99.7,74.4,0.08,1.07,5.97,2026-08-03
600667,太极实业,2,龙头股+同花顺,16.28,17.23,-5.51,17.21,16.11,607628.0,17.54,74.14,6.38,340.5,340.5,3.96,1.03,20260803161444,-9.15,-40.61,52.94,16.99,19.37,18.43,0.0,-15.96,-49.28,-49.28,38.1,31.1,-0.778,1.23,7.43,2026-08-03
600698,湖南天雁,1,同花顺,6.58,6.54,0.61,6.66,6.5,15459.0,2.84,-231.71,2.45,54.64,70.32,9.52,0.41,20260803161457,-7.06,9.48,-13.53,6.52,6.07,6.51,0.0,8.38,-17.65,-53.95,11.5,67.6,0.201,1.65,4.28,2026-08-03
600722,金牛化工,1,同花顺,10.81,10.74,0.65,10.82,10.0,90295.0,12.62,154.62,7.64,73.54,73.54,5.83,1.33,20260803161447,5.05,32.64,-22.29,10.38,9.23,9.89,0.0,17.15,-23.28,-43.99,37.2,65.0,0.492,1.08,6.53,2026-08-03
600726,华电能源,1,同花顺,5.81,5.61,3.57,5.95,5.49,119842.0,2.78,141.49,8.2,434.32,459.42,9.23,0.88,20260803161500,-7.04,-8.36,-22.64,5.76,5.97,7.3,0.0,-2.66,-44.08,-44.08,42.7,49.4,0.041,1.07,5.71,2026-08-03
600744,华银电力,1,同花顺,7.33,6.93,5.77,7.34,6.94,142178.0,9.72,103.15,5.77,148.88,148.88,11.55,0.72,20260803161432,-3.68,24.03,-16.42,7.06,6.49,7.3,0.0,12.96,-20.33,-21.94,49.1,69.4,0.202,1.31,5.58,2026-08-03
600759,ST洲际,1,同花顺,2.35,2.37,-0.84,2.38,2.31,25136.0,2.59,45.88,2.95,97.38,97.5,1.07,0.62,20260803161500,0.86,0.86,-41.4,2.37,2.51,2.57,0.0,-6.34,-38.32,-72.99,7.6,27.9,-0.023,0.54,5.7,2026-08-03
600879,航天电子,1,龙头股,15.06,14.58,3.29,15.14,14.5,121903.0,2.47,217.42,4.39,496.87,496.87,2.39,1.05,20260803161445,-0.13,-29.92,-43.45,14.6,17.0,19.91,0.0,-11.4,-43.72,-52.25,24.2,26.7,-0.172,0.57,5.43,2026-08-03
600938,中国海油,1,同花顺,31.85,32.26,-1.27,32.58,31.75,159953.0,1.67,12.14,2.57,952.32,15138.29,1.86,0.79,20260803161436,0.95,14.61,-11.21,31.89,30.47,31.85,0.0,4.53,-14.15,-25.81,40.4,61.0,0.586,0.73,3.04,2026-08-03
600988,赤峰黄金,1,同花顺,38.86,39.56,-1.77,39.34,36.89,204750.0,3.21,20.59,6.19,646.6,738.5,5.4,0.77,20260803161453,1.89,22.97,-11.84,38.15,35.16,33.39,1.0,10.54,-6.86,-18.5,64.9,58.9,0.826,0.84,4.95,2026-08-03
601179,中国西电,1,同花顺,13.91,13.34,4.27,14.16,13.56,316623.0,4.44,53.96,4.5,713.01,713.01,3.09,1.12,20260803161438,-1.28,-0.78,-18.83,13.5,12.98,14.91,0.0,7.12,-27.35,-30.85,55.2,63.0,0.429,1.14,4.02,2026-08-03
601318,中国平安,1,龙头股,55.55,54.9,1.18,55.58,54.7,416669.0,0.71,7.58,1.6,5921.67,10058.8,1.02,0.88,20260803161439,4.01,10.88,-4.73,54.95,52.29,52.05,1.0,6.23,-4.8,-23.45,32.8,77.6,0.837,0.95,1.62,2026-08-03
601606,长城军工,1,同花顺,32.81,33.94,-3.33,34.33,32.28,148966.0,6.26,3430.91,6.04,237.62,237.62,10.9,0.6,20260803161458,-6.95,15.22,-16.01,33.86,29.13,31.76,0.0,12.62,-19.73,-54.69,16.1,68.9,1.802,2.18,5.18,2026-08-03
601678,滨化股份,1,同花顺,6.15,6.29,-2.23,6.32,6.05,94025.0,7.45,53.73,4.29,125.67,148.15,1.28,0.52,20260803161453,-12.89,-1.44,22.51,6.36,5.86,5.9,0.0,4.92,-20.13,-20.13,57.9,63.3,0.102,1.15,5.11,2026-08-03
601698,中国卫通,1,龙头股,25.88,25.22,2.62,26.0,25.09,63885.0,0.59,274.94,3.61,1093.27,1093.27,6.9,1.24,20260803161441,2.17,-13.68,-34.92,25.16,26.89,30.33,0.0,-3.77,-34.94,-51.94,18.1,34.4,0.111,0.54,4.29,2026-08-03
601857,中国石油,1,同花顺,11.05,11.08,-0.27,11.11,10.9,136623.0,0.08,12.79,1.9,17892.39,20223.82,1.28,0.65,20260803161437,1.38,21.56,1.66,11.08,10.39,10.2,0.0,6.34,-2.9,-14.93,62.5,67.6,0.157,0.79,2.46,2026-08-03
601899,紫金矿业,2,15Min+同花顺,32.55,32.95,-1.21,32.94,31.69,709571.0,1.07,14.03,3.79,6705.88,8655.28,4.57,0.91,20260803161442,2.46,15.1,-5.43,32.41,30.17,29.69,1.0,7.9,-5.05,-24.43,57.1,67.8,0.647,0.83,2.81,2026-08-03
601991,大唐发电,1,同花顺,6.18,5.91,4.57,6.2,5.89,276776.0,3.66,14.22,5.25,766.08,1143.71,3.11,0.98,20260803161442,-0.64,-16.37,11.55,6.0,6.29,7.31,0.0,-1.72,-32.68,-32.68,49.9,54.3,0.006,0.74,5.08,2026-08-03
603019,中科曙光,1,龙头股,83.69,83.46,0.28,85.99,83.08,335857.0,2.73,55.22,3.49,1224.43,1224.48,5.57,0.64,20260803161435,-13.49,-11.5,-12.75,85.38,95.18,92.63,0.0,-12.07,-22.15,-33.07,28.0,33.1,-4.082,0.65,4.75,2026-08-03
