代码,名称,共振,组合,现价,昨收,涨跌幅,最高,最低,成交额万,换手率,PE_TTM,振幅,流通市值亿,总市值亿,PB,量比,时间,R5,R20,R60,MA5,MA20,MA60,多头排列,距MA20,距60日高,距年高,年内位置,RSI14,MACD柱,量能比,波动率20,最新K日
000725,京东方Ａ,2,龙头股+同花顺,5.42,5.51,-1.63,5.53,5.37,686949.0,3.58,33.74,2.9,1916.9,2007.8,1.5,0.68,20260803161415,-9.21,-30.15,31.75,5.52,6.34,6.13,0.0,-14.54,-40.44,-40.44,31.0,28.0,-0.271,0.71,5.18,2026-08-03
000815,美利云,2,龙头股+同花顺,16.7,15.18,10.01,16.7,15.78,152570.0,13.33,149.1,6.06,116.11,116.11,8.25,0.92,20260803161421,0.6,23.7,-27.26,15.3,14.5,16.26,0.0,15.15,-25.68,-27.26,48.4,62.4,0.493,1.32,6.78,2026-08-03
000938,紫光股份,3,龙头股+15Min+同花顺,33.1,34.89,-5.13,35.87,32.69,975074.0,10.03,44.55,9.11,946.68,946.69,6.17,0.81,20260803161403,-20.18,-0.63,-0.02,36.08,37.68,31.72,0.0,-12.16,-26.28,-26.28,44.9,44.0,-2.106,0.83,6.7,2026-08-03
000977,浪潮信息,2,龙头股+同花顺,71.66,71.81,-0.21,75.8,71.09,550765.0,5.14,41.19,6.56,1051.13,1052.31,4.73,0.81,20260803161451,-15.69,2.8,-6.25,73.47,81.42,71.24,0.0,-11.98,-20.79,-20.79,48.9,35.4,-4.551,0.66,5.62,2026-08-03
001258,立新能源,3,龙头股+15Min+同花顺,12.73,12.34,3.16,12.96,11.88,178520.0,15.17,117.89,8.75,118.81,118.81,3.93,0.87,20260803161421,-11.17,81.86,37.32,12.39,9.68,9.11,1.0,31.45,-11.17,-11.17,79.6,76.5,0.673,1.96,6.7,2026-08-03
001270,铖昌科技,1,龙头股,99.9,92.56,7.93,101.82,91.95,130734.0,6.47,155.97,10.66,204.6,205.91,13.55,1.53,20260803161442,-2.06,-37.32,-34.57,94.34,117.96,133.57,0.0,-15.31,-39.93,-39.93,48.2,28.4,-3.501,0.74,6.61,2026-08-03
001309,德明利,1,同花顺,349.0,385.9,-9.56,376.61,348.96,977540.0,16.49,19.29,7.17,575.95,791.69,11.95,0.98,20260803161427,-13.1,-62.67,-41.61,368.19,555.65,663.05,0.0,-37.19,-64.02,-64.02,29.9,12.2,-39.366,1.46,6.28,2026-08-03
001896,豫能控股,1,同花顺,12.21,12.02,1.58,12.48,11.92,89197.0,4.78,49.63,4.66,186.3,186.3,5.23,0.74,20260803161457,-13.71,-26.04,-25.59,12.55,13.92,16.75,0.0,-12.28,-46.21,-46.21,40.3,43.6,-0.267,0.73,6.05,2026-08-03
002038,双鹭药业,1,龙头股,5.66,5.62,0.71,5.7,5.53,11184.0,2.34,-12.13,3.02,48.22,58.15,1.14,0.57,20260803161500,1.62,-12.52,-12.79,5.53,5.91,5.85,0.0,-4.17,-19.6,-36.9,16.2,23.3,-0.092,0.48,5.75,2026-08-03
002083,孚日股份,1,同花顺,11.01,11.1,-0.81,11.51,10.48,102097.0,9.88,21.65,9.28,104.19,104.22,2.26,0.66,20260803161430,-8.25,10.32,2.49,11.21,10.28,10.18,0.0,7.13,-8.71,-22.7,66.9,58.0,0.245,1.53,6.06,2026-08-03
002156,通富微电,2,龙头股+同花顺,51.34,56.73,-9.5,55.6,51.23,852786.0,10.64,53.87,7.7,779.06,779.13,5.02,0.84,20260803161424,-33.04,-22.42,-10.05,59.01,68.84,66.86,0.0,-25.42,-34.77,-34.77,48.3,30.3,-4.996,0.88,7.36,2026-08-03
002173,创新医疗,1,同花顺,19.02,19.54,-2.66,19.27,18.59,83385.0,10.44,-182.2,3.48,80.05,83.93,4.87,0.6,20260803161421,-8.07,-1.86,-23.15,20.17,18.27,19.14,0.0,4.11,-25.09,-48.58,21.0,56.7,0.419,1.34,6.72,2026-08-03
002185,华天科技,2,龙头股+同花顺,14.77,15.47,-4.52,15.48,14.7,420792.0,8.46,60.17,5.04,490.76,490.87,2.75,0.67,20260803161415,-20.55,-25.93,7.67,15.84,19.63,18.68,0.0,-24.77,-42.48,-42.48,31.6,17.9,-1.353,0.72,7.25,2026-08-03
002208,合肥城建,1,同花顺,10.38,10.68,-2.81,10.6,10.31,48827.0,5.83,-15.03,2.72,83.36,83.38,1.41,0.5,20260803161412,-20.52,-43.74,-26.54,11.27,14.6,17.07,0.0,-28.88,-59.89,-59.89,20.1,16.3,-0.84,1.03,6.81,2026-08-03
002218,拓日新能,1,同花顺,4.15,3.98,4.27,4.16,3.98,39458.0,6.94,-29.44,4.52,57.59,58.44,1.49,0.71,20260803161433,-2.12,11.56,-29.78,4.02,3.74,4.29,0.0,10.89,-30.72,-47.86,15.9,69.5,0.166,1.42,4.26,2026-08-03
002261,拓维信息,1,龙头股,26.21,25.93,1.08,26.67,25.9,118689.0,3.94,551.79,2.97,300.39,330.24,12.68,0.8,20260803161403,-3.85,-12.92,-26.93,25.92,28.45,29.91,0.0,-7.86,-25.6,-40.57,8.3,35.2,-0.514,0.61,4.76,2026-08-03
002265,建设工业,1,同花顺,19.13,19.41,-1.44,19.32,18.49,36059.0,1.84,84.9,4.28,197.62,197.62,5.17,0.62,20260803161433,-3.43,3.33,-19.77,18.74,17.51,19.36,0.0,9.25,-22.41,-57.31,10.8,67.3,0.701,1.68,4.46,2026-08-03
002298,中电鑫龙,1,同花顺,8.86,8.9,-0.45,9.18,8.4,86381.0,14.81,-15.52,8.76,58.54,65.57,3.51,0.82,20260803161421,4.85,20.22,-20.11,8.66,7.5,8.6,0.0,18.15,-25.42,-36.76,30.0,75.4,0.559,2.1,4.83,2026-08-03
002300,太阳电缆,1,同花顺,7.35,6.97,5.45,7.35,6.96,45030.0,8.64,67.8,5.6,53.09,53.09,2.87,0.9,20260803161451,-1.47,11.7,-24.92,7.13,6.48,7.64,0.0,13.45,-34.67,-42.89,21.3,70.7,0.365,1.67,4.38,2026-08-03
002326,永太科技,1,同花顺,18.34,18.25,0.49,18.48,17.81,43909.0,2.97,353.58,3.67,148.88,169.67,6.1,0.47,20260803161439,-5.66,-22.97,-22.62,18.48,18.68,21.64,0.0,-1.81,-34.5,-40.9,29.7,49.9,0.374,0.81,4.68,2026-08-03
002342,巨力索具,1,龙头股,7.68,7.31,5.06,7.7,7.29,56165.0,7.75,486.27,5.61,73.32,73.73,3.02,1.12,20260803161406,3.92,-23.96,-65.26,7.31,8.13,11.02,0.0,-5.52,-65.35,-65.35,5.4,36.0,0.209,0.67,5.94,2026-08-03
002352,顺丰控股,1,15Min,35.05,34.99,0.17,35.47,34.83,76075.0,0.45,16.18,1.83,1682.09,1845.49,1.88,0.93,20260803161451,3.82,6.44,-5.98,34.9,33.58,33.86,0.0,4.38,-5.27,-27.1,24.5,73.8,0.454,1.11,1.33,2026-08-03
002354,天娱数科,1,龙头股,7.16,6.51,9.98,7.16,7.0,89928.0,7.74,-496.69,2.46,116.4,118.47,8.61,0.71,20260803161445,13.83,-15.07,12.76,6.4,7.08,7.41,0.0,1.07,-30.75,-30.75,35.5,43.9,-0.047,0.6,6.01,2026-08-03
002371,北方华创,1,龙头股,641.3,687.0,-6.65,689.55,636.45,858396.0,1.81,83.46,7.73,4650.13,4653.84,12.01,0.9,20260803161418,-16.71,-20.2,18.75,683.55,740.97,702.67,0.0,-13.45,-31.38,-31.38,51.8,33.6,-28.243,0.93,5.07,2026-08-03
002384,东山精密,2,龙头股+同花顺,162.81,171.48,-5.06,171.0,161.98,1339268.0,5.83,146.17,5.26,2257.07,2982.04,13.17,0.79,20260803161433,-23.17,-27.47,-22.98,173.32,219.94,226.68,0.0,-25.98,-40.97,-40.97,49.6,23.7,-16.051,0.95,6.89,2026-08-03
002388,新亚制程,1,同花顺,4.7,4.65,1.08,4.74,4.55,26895.0,11.38,-77.19,4.09,23.79,24.0,2.5,0.54,20260803161406,-2.08,-8.56,-15.92,4.8,4.37,5.09,0.0,7.5,-27.02,-30.78,32.4,57.0,0.207,1.88,6.53,2026-08-03
002396,星网锐捷,3,龙头股+15Min+同花顺,24.96,26.06,-4.22,27.69,24.56,173652.0,8.94,46.99,12.01,189.05,189.83,2.76,0.6,20260803161415,-20.26,-3.03,13.05,26.02,28.94,24.03,0.0,-13.75,-27.84,-27.84,43.9,42.2,-1.938,0.69,6.14,2026-08-03
002407,多氟多,2,龙头股+同花顺,30.01,31.44,-4.55,30.82,29.3,376474.0,11.62,68.23,4.83,323.74,357.25,4.18,0.63,20260803161424,-10.6,-34.56,-13.75,31.64,34.16,37.55,0.0,-12.14,-45.68,-45.68,41.3,35.3,-0.385,1.14,5.41,2026-08-03
002409,雅克科技,2,龙头股+同花顺,120.91,133.8,-9.63,131.66,120.42,476434.0,12.07,57.16,8.4,385.13,575.44,7.23,0.77,20260803161427,-28.6,-35.15,36.54,142.06,162.37,146.63,0.0,-25.53,-48.79,-48.79,36.7,27.2,-10.702,1.18,6.96,2026-08-03
002415,海康威视,1,同花顺,37.95,37.65,0.8,39.18,37.51,587316.0,1.7,21.16,4.44,3432.99,3478.07,4.12,0.95,20260803161457,2.6,12.18,9.05,36.62,35.13,33.15,1.0,8.03,0.0,0.0,100.0,72.7,0.432,1.17,2.45,2026-08-03
002428,云南锗业,1,同花顺,68.35,66.95,2.09,71.85,67.69,524386.0,11.6,2342.89,6.21,446.35,446.41,30.52,1.25,20260803161409,-13.52,-35.1,-20.58,67.04,81.46,92.01,0.0,-16.09,-47.46,-47.46,43.6,28.9,-2.877,0.98,6.66,2026-08-03
002432,九安医疗,1,龙头股,64.65,68.46,-5.57,68.56,64.48,257464.0,8.38,13.13,5.96,300.8,301.2,1.44,0.97,20260803161454,-10.7,2.13,-13.39,65.84,67.38,70.32,0.0,-4.05,-28.24,-29.16,51.3,52.6,-1.18,0.96,7.43,2026-08-03
002463,沪电股份,1,龙头股,101.61,103.75,-2.06,104.06,99.81,426930.0,2.18,45.45,4.1,1953.77,1955.35,12.35,0.63,20260803161457,-13.52,-21.13,-6.53,102.58,119.92,126.1,0.0,-15.27,-34.44,-34.44,49.6,27.5,-4.915,0.94,5.95,2026-08-03
002490,山东墨龙,1,龙头股,7.4,7.47,-0.94,7.43,7.12,34345.0,8.72,1146.29,4.15,40.09,60.94,12.1,0.66,20260803161427,1.37,15.62,-27.31,7.48,7.63,7.78,0.0,-2.98,-26.88,-44.11,24.8,35.8,-0.03,0.84,6.64,2026-08-03
002498,汉缆股份,1,同花顺,7.24,6.83,6.0,7.42,6.7,164407.0,6.96,42.19,10.54,240.86,240.86,2.77,0.91,20260803161454,1.97,13.48,-20.26,6.95,6.14,7.43,0.0,17.93,-34.0,-34.0,50.5,66.5,0.462,2.01,5.51,2026-08-03
002580,圣阳股份,1,同花顺,18.74,19.47,-3.75,19.3,18.08,140142.0,16.57,45.69,6.27,84.77,85.06,3.55,0.76,20260803161409,11.08,-2.5,-42.97,18.62,17.17,21.82,0.0,9.17,-46.09,-46.09,29.1,56.3,1.19,2.08,5.02,2026-08-03
002600,领益智造,1,龙头股,12.46,12.4,0.48,12.57,12.2,95955.0,1.07,47.86,2.98,897.11,1011.78,4.17,0.69,20260803161412,0.48,-23.23,-17.32,12.27,12.96,14.89,0.0,-3.84,-30.85,-31.95,37.6,43.7,0.111,0.64,4.09,2026-08-03
002617,露笑科技,1,龙头股,6.17,6.11,0.98,6.17,6.06,42254.0,3.67,63.71,1.8,115.85,117.8,1.83,0.75,20260803161451,4.05,-31.22,-22.97,6.03,6.8,8.39,0.0,-9.21,-41.01,-42.92,8.5,36.6,0.066,0.58,5.09,2026-08-03
002636,金安国纪,1,龙头股,47.32,50.83,-6.91,50.82,46.9,194340.0,5.56,71.88,7.71,342.75,344.49,9.25,0.92,20260803161403,-25.7,-51.11,-1.01,51.83,74.64,74.44,0.0,-36.6,-60.56,-60.56,33.0,11.9,-7.396,0.91,6.71,2026-08-03
002709,天赐材料,1,同花顺,35.94,35.74,0.56,36.37,34.89,161578.0,3.0,25.56,4.14,542.34,732.66,3.97,0.63,20260803161415,-6.14,-26.65,-38.47,36.29,37.98,48.01,0.0,-5.37,-39.66,-43.84,38.3,42.8,0.645,0.79,4.46,2026-08-03
002747,埃斯顿,1,龙头股,30.75,29.74,3.4,31.83,29.5,254374.0,10.5,228.61,7.83,240.59,297.6,9.19,1.07,20260803161409,-2.54,-33.2,27.7,29.97,35.97,33.38,0.0,-14.51,-37.24,-37.24,38.3,35.2,-1.879,0.85,6.18,2026-08-03
002837,英维克,1,龙头股,46.45,47.45,-2.11,48.2,45.82,178567.0,3.37,122.67,5.02,525.1,591.94,17.96,0.87,20260803161424,-24.18,-37.28,-40.86,49.71,61.64,70.37,0.0,-24.64,-46.6,-50.06,32.3,21.1,-3.209,0.9,5.57,2026-08-03
002879,长缆科技,1,同花顺,17.88,16.25,10.03,17.88,15.98,43102.0,18.39,26.03,11.69,24.52,34.53,2.05,0.58,20260803161442,-9.97,27.35,-3.87,17.42,14.9,15.3,0.0,19.96,-9.97,-26.27,46.6,68.7,0.745,2.05,6.43,2026-08-03
300017,网宿科技,1,龙头股,13.82,14.03,-1.5,14.22,13.74,227576.0,6.89,47.35,3.42,327.05,344.9,3.41,1.08,20260803161406,3.68,8.9,-21.61,13.05,13.89,14.8,0.0,-0.51,-29.09,-37.94,33.8,47.5,-0.03,0.83,7.33,2026-08-03
300065,海兰信,1,龙头股,15.85,15.36,3.19,16.04,15.22,60298.0,5.84,1596.51,5.34,104.08,114.36,6.51,0.9,20260803161430,-2.1,-29.93,-40.9,15.29,18.77,20.65,0.0,-15.54,-44.95,-45.89,9.7,26.2,-0.518,0.6,7.84,2026-08-03
300136,信维通信,1,龙头股,56.5,57.48,-1.7,58.88,55.75,301644.0,6.39,74.27,5.45,466.24,546.68,6.85,0.93,20260803161418,-15.24,-39.68,-44.23,58.9,73.86,95.1,0.0,-23.5,-52.62,-52.62,34.3,21.5,-2.238,0.83,6.63,2026-08-03
300139,晓程科技,1,同花顺,39.18,39.51,-0.84,39.49,37.63,107245.0,11.85,57.93,4.71,91.55,107.35,9.22,0.72,20260803161448,-1.43,-3.02,-34.16,38.55,37.35,42.0,0.0,4.89,-32.45,-53.51,31.2,53.0,1.007,1.03,5.79,2026-08-03
300164,通源石油,1,同花顺,11.0,11.93,-7.8,11.5,10.81,153128.0,23.76,282.22,5.78,64.15,64.73,4.7,0.71,20260803161430,4.86,41.39,-16.86,11.3,10.63,10.21,0.0,3.47,-18.46,-55.21,30.1,48.2,0.09,0.91,8.97,2026-08-03
300209,行云科技,1,龙头股,28.03,27.9,0.47,29.22,26.24,264534.0,12.78,-356.35,10.68,208.24,260.3,27.7,0.98,20260803161442,-3.04,12.57,20.61,27.48,26.9,27.11,0.0,4.22,-12.3,-12.3,85.4,45.9,0.127,1.07,8.82,2026-08-03
300285,国瓷材料,1,龙头股,57.8,62.04,-6.83,62.2,57.11,667267.0,13.24,93.43,8.2,493.42,576.29,8.1,0.77,20260803161445,-7.43,-34.39,51.34,59.33,64.5,65.39,0.0,-10.39,-45.24,-45.24,45.4,39.1,-0.939,1.27,8.59,2026-08-03
300308,中际旭创,2,龙头股+同花顺,902.5,902.01,0.05,933.61,875.87,2914395.0,2.9,70.62,6.4,10017.21,10556.86,30.47,0.64,20260803161436,-16.2,-17.87,1.86,905.5,1050.89,1126.08,0.0,-14.12,-34.71,-34.71,60.0,33.3,-40.062,1.31,6.99,2026-08-03
300394,天孚通信,1,龙头股,180.5,171.01,5.55,187.5,168.5,1002933.0,5.15,90.66,11.11,1964.54,1968.94,36.02,1.24,20260803161448,-13.71,-23.84,-22.39,175.05,222.11,270.94,0.0,-18.73,-49.12,-49.12,40.7,25.0,-8.29,1.12,6.94,2026-08-03
300433,蓝思科技,1,同花顺,31.57,31.58,-0.03,32.1,30.98,232023.0,1.48,48.45,3.55,1568.93,1666.5,3.19,0.55,20260803161454,-13.81,-38.47,12.34,32.25,38.03,41.78,0.0,-16.98,-42.93,-42.93,29.1,28.0,-1.401,0.87,5.52,2026-08-03
300502,新易盛,2,龙头股+同花顺,394.08,396.01,-0.49,405.0,379.0,1588473.0,3.23,51.16,6.57,4942.72,5494.49,28.3,0.58,20260803161445,-19.74,-22.26,0.19,397.86,488.82,503.27,0.0,-19.38,-35.45,-35.45,55.6,29.2,-30.123,1.25,7.2,2026-08-03
300503,昊志机电,1,龙头股,64.29,63.46,1.31,67.5,62.65,162155.0,10.32,68.75,7.64,155.08,198.16,12.49,1.43,20260803161406,-4.46,-41.45,-6.0,61.89,74.33,79.27,0.0,-13.5,-42.08,-42.08,47.1,32.3,-2.763,0.83,7.05,2026-08-03
300534,陇神戎发,1,15Min,12.67,13.73,-7.72,14.31,12.55,111204.0,27.97,77.85,12.82,38.27,38.43,5.29,0.9,20260803161454,-5.59,66.71,35.94,13.45,11.27,9.05,0.0,12.41,-11.09,-11.09,78.4,57.5,0.176,1.27,10.55,2026-08-03
300750,宁德时代,1,同花顺,394.4,395.3,-0.23,395.88,389.6,845800.0,0.51,21.47,1.59,16801.76,18247.53,4.81,0.51,20260803161454,-1.4,5.31,-9.75,395.86,377.96,396.36,0.0,4.35,-11.59,-14.26,68.0,63.2,7.453,0.97,3.02,2026-08-03
300759,康龙化成,1,15Min,36.07,36.8,-1.98,37.68,35.97,148720.0,2.87,39.13,4.65,512.21,662.71,4.12,0.67,20260803161457,-6.96,17.88,33.54,36.76,36.39,28.89,0.0,-0.87,-10.5,-10.5,77.5,47.6,-1.161,0.6,4.63,2026-08-03
